TF,target,importance
RPS4X,RPS8,148.0894314
RPS4X,RPS25,126.9571766
RPS4X,RPL41,126.2565952
RPS4X,RPS3A,125.546449
RPS4X,RPL10A,123.5167554
RPS4X,EEF1A1,119.1179115
RPS4X,RPL3,118.2227736
RPS4X,RPL13,117.984894
RPS4X,RPS15A,117.6684851
RPS4X,RPS14,114.3865246
RPS4X,RPS23,112.8662864
RPS4X,RPL9,112.5627722
RPS4X,RPS27,111.4235645
RPS4X,RPL21,110.5870632
RPS4X,RPL37,109.2882312
RPS4X,RPL39,108.9932848
RPS4X,RPS18,108.1806482
RPS4X,RPL5,107.6670371
RPS4X,RPL32,107.4336956
RPS4X,RPL11,106.589698
RPS4X,RPL18,105.6216283
RPS4X,RPL36,105.1275478
RPS4X,RPS6,104.8627332
RPS4X,RPS21,104.1284354
RPS4X,RPS12,103.5302131
RPS4X,RPL30,101.79838
RPS4X,RPL14,101.760614
RPS4X,RPL34,101.0841777
RPS4X,RPL35A,100.6352111
RPS4X,RPL7A,100.0008026
RPS4X,RPL23A,98.80247341
RPS4X,RPS16,98.28516257
RPS4X,RPL18A,96.43229023
TBX21,NKG7,95.93278159
RPS4X,RPLP1,95.7402073
RPS4X,RPS15,95.12693978
RPS4X,RPS5,94.19005828
RPS4X,RPL19,94.03370351
RPL6,EEF1A1,93.97822868
RPS4X,RPS27A,93.72272913
RPS4X,RPS28,93.51093334
RPS4X,RPL15,93.44935648
ODC1,GNG11,93.41519192
RPS4X,RPL28,90.99635371
RPL6,TPT1,89.33119913
RPS4X,RPS3,88.8218507
RPS4X,RPL37A,88.33840869
RPS4X,RPS29,88.0519272
RPL35,RPL18A,88.04047063
RPS4X,RPL22,87.19163751
RPS4X,RPSA,86.24940297
IRF8,SMPD3,85.98059155
RPS10,RPS25,85.53181997
RPS4X,RPL12,85.31506268
RPS10,RPL13,84.94173774
RPS4X,RPS10,84.74870311
RPS10,RPL37,84.55055718
RPS4X,RPL35,84.43547069
RPS4X,RPL29,84.23732838
RPS4X,RPS2,84.11366189
RPS10,RPS3A,83.69155423
RPL35,RPS18,83.47025231
RPS4X,RPL13A,82.74884348
RPL6,RPS4X,82.69688478
FOS,LYZ,82.14094321
RPL6,RPS13,81.68767342
RPL35,RPS15,81.06843641
RPL6,RPL28,80.84947684
RPS4X,RPS9,80.72445644
RPS4X,RPS13,80.56826666
RPS4X,RPLP2,80.42239755
RPS10,RPS18,80.18762114
RPS4X,RPL27,80.07802375
RPS10,RPS4X,79.40511149
RPS4X,RPLP0,79.19124556
XBP1,MZB1,79.18033621
RPS10,RPL21,79.11984063
RPL6,RPS2,79.02370095
RPL6,RPL10,78.65536132
IRF7,CLEC4C,78.62152809
RPS4X,EEF1B2,78.53321985
RPL6,RPL34,78.14550734
RPS4X,RPL4,78.00996192
RPS10,RPS12,77.67065189
RPL35,RPL13,77.51241326
RPS4X,FAU,77.45436516
FOS,DUSP1,77.38648733
RPL35,RPL21,77.0430025
RPL6,RPS9,76.87179955
RPS4X,RPL10,76.57018107
FOS,S100A9,76.34010486
RPL35,RPL37A,75.2027664
IRF7,SMPD3,74.86619393
RPS4X,RPS7,74.77945411
RPL35,RPL36,74.67109507
RPL35,RPL29,74.03448798
RPS10,RPL10,73.67453418
RPL6,RPL39,73.28813126
RPL6,RPL15,73.21611119
RPL35,RPL23A,72.67868744
KLRG1,GZMA,72.62898026
RPS10,RPL18,72.55129151
XBP1,PPIB,72.32445339
RPL35,RPS4X,72.30946687
RPS4X,RPL6,72.30018153
RPL35,RPS2,72.28217424
RPS4X,RPS20,72.23596568
RPS10,RPS16,72.11856489
RPL35,RPL10,71.90209602
RPS4X,RPL8,71.8581608
RPS4X,RPL36A,71.84933067
RPL6,RPL13A,71.75652579
RPL6,RPL11,71.61991497
RPL35,RPL3,71.29608785
RPS4X,TPT1,71.16375174
RPS10,RPS21,71.12613794
IRF8,CLEC4C,70.84582591
IRF8,LRRC26,70.61159896
IRF7,TCF4,70.59730728
RPL6,RPL29,70.51548898
RPL6,RACK1,70.29653519
RPS10,RPS27,70.16113266
RPL35,RPS19,69.9950616
RPS4X,RPS19,69.47961089
IRF7,LRRC26,69.45847204
RPS10,RPS14,69.26546468
RPL35,RPS6,69.16921114
RPL6,RPS24,68.87585994
RPS10,RPS23,68.80821611
RPL35,RPL8,68.67483236
SPIB,CD79A,68.37839312
RPS10,EEF1B2,68.35860125
RPL6,RPL32,68.25572411
IRF7,SERPINF1,67.64710302
RPS10,RPL23A,67.56329728
RPL6,RPL9,67.40826777
RPL35,RPL11,67.33444548
RPS10,RPL41,67.27481191
RPL35,RPL41,66.85764378
RPL35,RPS27,66.71968812
RPL6,RPL13,66.53674523
RPL35,RPL12,66.4193596
FOSB,JUN,66.18082419
RPS4X,RPL38,66.01025578
RPS10,RPSA,65.8337648
RPL35,RPLP0,65.66892264
RPL35,RPL10A,65.64853149
RPS10,RPS15A,65.56613541
RPS10,RPL35A,65.55698308
RPS10,RPL7A,65.46431315
RPL6,UBA52,65.42707676
RPL6,RPL8,65.40040871
RPS10,RPL30,65.26325611
RPL6,RPL26,65.25259462
RPL35,RPL19,65.05960063
RPL6,RPS8,64.89583371
RPL35,RPS5,64.69811007
EOMES,KLRG1,64.39995133
RPS10,RPL19,63.90542446
TBX21,PRF1,63.75659819
RPL6,RPL35A,63.71502086
RPS10,RPS27A,63.58843197
RPL35,RPL6,63.49982092
RPL35,RPL7A,63.47965322
RPS10,RPL32,63.21055359
RPL6,RPL4,63.11786302
FOS,S100A8,62.77188792
RPS10,RPL29,62.56538634
